schoolName,Rating
West Virginia School of Osteopathic Medicine,0.0582154312914596
MCPHS University,0.0638682742601792
Philadelphia College of Osteopathic Medicine,0.073482991238519
Harvard University,0.0907521566933104
Albany College of Pharmacy and Health Sciences,0.0911897546683217
St Louis College of Pharmacy,0.104960189051613
Massachusetts Institute of Technology,0.106778491205958
Samuel Merritt University,0.112359920895322
Georgetown University,0.114771791009893
Stanford University,0.122260034146313
University of Massachusetts Medical School Worcester,0.1271174974542
Duke University,0.127756873403003
Babson College,0.132564617098448
Princeton University,0.136697964251932
Washington and Lee University,0.137511933394138
University of Pennsylvania,0.139226029690458
Cornell University,0.142660128759244
SUNY Downstate Medical Center,0.146838883463995
Columbia University in the City of New York,0.15120664772352
Stevens Institute of Technology,0.155131210164981
Harvey Mudd College,0.155813898640815
Lehigh University,0.157859789535179
Georgia Institute of Technology-Main Campus,0.158039326491575
Rensselaer Polytechnic Institute,0.15869339269314
University of the Sciences,0.1588243737341
Rice University,0.161777271091029
Rose-Hulman Institute of Technology,0.163236642872354
Vanderbilt University,0.163579470337899
Dartmouth College,0.163664802761459
Tufts University,0.164536934640262
Upstate Medical University,0.164713665537881
Claremont McKenna College,0.165096792925402
University of California-Berkeley,0.165355491395786
Villanova University,0.165913594638871
Bentley University,0.166416933281852
Worcester Polytechnic Institute,0.167319143469974
Yale University,0.167322947228343
Santa Clara University,0.167831802312213
California Maritime Academy,0.169459963106293
Boston College,0.169628863278702
University of Notre Dame,0.171079122055068
California Institute of Technology,0.171545455266192
Wellesley College,0.172646661001781
Salus University,0.173423259212323
Brigham Young University-Provo,0.174444548201872
Johns Hopkins University,0.174877142459813
Massachusetts Maritime Academy,0.174999717548966
Carnegie Mellon University,0.175009515352829
Colorado School of Mines,0.176567221599878
Lafayette College,0.177096040955093
Colgate University,0.177603165620655
Helene Fuld College of Nursing,0.177918179406902
Williams College,0.178040099423335
United States Merchant Marine Academy,0.178169549785175
University of Chicago,0.179800904229502
University of Southern California,0.180069860551144
Northwestern University,0.180566895729049
University of California-Los Angeles,0.181200186668532
Bucknell University,0.181490020400561
Brown University,0.181500564026152
Haverford College,0.182102900491133
California Polytechnic State University-San Luis Obispo,0.185663102905832
SUNY Maritime College,0.186241849780552
Kettering University,0.186447632426936
University of Virginia-Main Campus,0.186805610946783
Barnard College,0.188559606359973
Pomona College,0.188584519422863
Davidson College,0.188619678944665
Washington University in St Louis,0.188999236218235
CUNY Bernard M Baruch College,0.189275363670945
Fairfield University,0.191043470876983
University of California-Davis,0.19322305816903
College of William and Mary,0.193226686940005
University of Maryland-College Park,0.193296091298427
University of Richmond,0.193780514527023
George Washington University,0.193916976865345
University of California-San Diego,0.194004988183542
Hamilton College,0.196540808742184
Case Western Reserve University,0.19678072479368
University of California-Irvine,0.197976286430149
Emory University,0.198696925368623
Cooper Union for the Advancement of Science and Art,0.199096520364326
College of the Holy Cross,0.199301297986502
University of Michigan-Ann Arbor,0.199802856405033
SUNY at Binghamton,0.200520377482958
Trinity College,0.200606157235314
Wake Forest University,0.200785267716562
Maine Maritime Academy,0.201318132461025
Illinois Institute of Technology,0.201452035828024
New Jersey Institute of Technology,0.202047119743345
Bates College,0.203912292309816
Missouri University of Science and Technology,0.204767747435676
University of Illinois at Urbana-Champaign,0.204881846529291
University of North Carolina at Chapel Hill,0.20488255386611
James Madison University,0.20510606042496
University of Washington-Seattle Campus,0.205178756833237
University of Florida,0.205538319607282
Clarkson University,0.205999476674463
Boston University,0.206019411023352
Bowdoin College,0.206110185871838
New York University,0.206355568213777
The College of New Jersey,0.206486031612496
University of the Pacific,0.206616487868319
Los Angeles County College of Nursing and Allied Health,0.206813971371859
Thomas Jefferson University,0.207943319470629
Amherst College,0.209094431569175
Alliant International University,0.209744058769347
Colby College,0.209829867129742
Wesleyan University,0.209935485437732
Yeshiva University,0.210088406488073
Manhattan College,0.210611871638959
Loyola University Maryland,0.210660286139667
Middlebury College,0.210797053762953
George Mason University,0.210915766959029
Widener University-Delaware Campus,0.211484975617349
Providence College,0.21196742887194
Texas A & M University-College Station,0.212134257904879
San Jose State University,0.212155411741064
Virginia Polytechnic Institute and State University,0.212424681613833
Pepperdine University,0.212436105850081
University of San Francisco,0.212602515678357
